MSFS-Net Evaluation on LOL-Blur Dataset
==================================================
Total images : 1800
Average PSNR : 8.560 dB
Average SSIM : 0.2379

Per-image results:
  Image 0121: PSNR=12.044  SSIM=0.1551
  Image 0122: PSNR=12.139  SSIM=0.1614
  Image 0123: PSNR=12.049  SSIM=0.1643
  Image 0124: PSNR=12.046  SSIM=0.1675
  Image 0125: PSNR=11.998  SSIM=0.1559
  Image 0126: PSNR=11.937  SSIM=0.1553
  Image 0127: PSNR=12.089  SSIM=0.1653
  Image 0128: PSNR=11.962  SSIM=0.1663
  Image 0129: PSNR=11.984  SSIM=0.1639
  Image 0130: PSNR=12.031  SSIM=0.1680
  Image 0131: PSNR=11.946  SSIM=0.1649
  Image 0132: PSNR=12.069  SSIM=0.1666
  Image 0133: PSNR=11.895  SSIM=0.1545
  Image 0134: PSNR=11.779  SSIM=0.1458
  Image 0135: PSNR=11.823  SSIM=0.1499
  Image 0136: PSNR=11.739  SSIM=0.1586
  Image 0137: PSNR=11.812  SSIM=0.1653
  Image 0138: PSNR=11.761  SSIM=0.1726
  Image 0139: PSNR=11.733  SSIM=0.1717
  Image 0140: PSNR=11.726  SSIM=0.1674
  Image 0141: PSNR=11.601  SSIM=0.1685
  Image 0142: PSNR=11.697  SSIM=0.1653
  Image 0143: PSNR=11.604  SSIM=0.1620
  Image 0144: PSNR=11.683  SSIM=0.1592
  Image 0145: PSNR=11.765  SSIM=0.1636
  Image 0146: PSNR=11.729  SSIM=0.1658
  Image 0147: PSNR=11.856  SSIM=0.1691
  Image 0148: PSNR=11.772  SSIM=0.1673
  Image 0149: PSNR=11.798  SSIM=0.1657
  Image 0150: PSNR=11.873  SSIM=0.1687
  Image 0151: PSNR=12.687  SSIM=0.2749
  Image 0152: PSNR=12.865  SSIM=0.2836
  Image 0153: PSNR=12.840  SSIM=0.2855
  Image 0154: PSNR=12.924  SSIM=0.3024
  Image 0155: PSNR=12.970  SSIM=0.3042
  Image 0156: PSNR=12.792  SSIM=0.2894
  Image 0157: PSNR=12.758  SSIM=0.2693
  Image 0158: PSNR=12.601  SSIM=0.2594
  Image 0159: PSNR=12.605  SSIM=0.2650
  Image 0160: PSNR=12.696  SSIM=0.2710
  Image 0161: PSNR=12.640  SSIM=0.2856
  Image 0162: PSNR=12.832  SSIM=0.3056
  Image 0163: PSNR=12.734  SSIM=0.3075
  Image 0164: PSNR=12.680  SSIM=0.2990
  Image 0165: PSNR=12.553  SSIM=0.2734
  Image 0166: PSNR=12.392  SSIM=0.2634
  Image 0167: PSNR=12.631  SSIM=0.2719
  Image 0168: PSNR=12.660  SSIM=0.2837
  Image 0169: PSNR=12.714  SSIM=0.2980
  Image 0170: PSNR=12.907  SSIM=0.3165
  Image 0171: PSNR=12.737  SSIM=0.3081
  Image 0172: PSNR=12.862  SSIM=0.3134
  Image 0173: PSNR=12.676  SSIM=0.2999
  Image 0174: PSNR=12.676  SSIM=0.3022
  Image 0175: PSNR=12.694  SSIM=0.2926
  Image 0176: PSNR=12.603  SSIM=0.2854
  Image 0177: PSNR=12.822  SSIM=0.3050
  Image 0178: PSNR=12.769  SSIM=0.3107
  Image 0179: PSNR=12.800  SSIM=0.3052
  Image 0180: PSNR=12.740  SSIM=0.2907
  Image 0181: PSNR=8.394  SSIM=0.2456
  Image 0182: PSNR=8.339  SSIM=0.2283
  Image 0183: PSNR=8.617  SSIM=0.2829
  Image 0184: PSNR=8.720  SSIM=0.2819
  Image 0185: PSNR=8.770  SSIM=0.2691
  Image 0186: PSNR=8.797  SSIM=0.2670
  Image 0187: PSNR=8.961  SSIM=0.2864
  Image 0188: PSNR=8.884  SSIM=0.2420
  Image 0189: PSNR=8.859  SSIM=0.2239
  Image 0190: PSNR=8.879  SSIM=0.2256
  Image 0191: PSNR=8.899  SSIM=0.2323
  Image 0192: PSNR=8.932  SSIM=0.2378
  Image 0193: PSNR=8.921  SSIM=0.2367
  Image 0194: PSNR=8.913  SSIM=0.2362
  Image 0195: PSNR=8.884  SSIM=0.2348
  Image 0196: PSNR=8.818  SSIM=0.2319
  Image 0197: PSNR=8.746  SSIM=0.2214
  Image 0198: PSNR=8.771  SSIM=0.2297
  Image 0199: PSNR=9.098  SSIM=0.2971
  Image 0200: PSNR=9.229  SSIM=0.2988
  Image 0201: PSNR=9.248  SSIM=0.2851
  Image 0202: PSNR=9.409  SSIM=0.3064
  Image 0203: PSNR=9.419  SSIM=0.2838
  Image 0204: PSNR=9.446  SSIM=0.2676
  Image 0205: PSNR=9.552  SSIM=0.2789
  Image 0206: PSNR=9.489  SSIM=0.2592
  Image 0207: PSNR=9.430  SSIM=0.2365
  Image 0208: PSNR=9.464  SSIM=0.2385
  Image 0209: PSNR=9.339  SSIM=0.2356
  Image 0210: PSNR=9.243  SSIM=0.2465
  Image 0211: PSNR=9.934  SSIM=0.3195
  Image 0212: PSNR=9.927  SSIM=0.3198
  Image 0213: PSNR=9.966  SSIM=0.3303
  Image 0214: PSNR=9.997  SSIM=0.3432
  Image 0215: PSNR=10.017  SSIM=0.3523
